Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/17/2026 22:47:26,,Halftime,"Tata Martino:  [We've] been the most dominate of the two teams druing the first half.  [We've] had the clearest opportunities in the first 45 minutes.  [We] have to find a way to finish these plays in the second half to get going.
Halftime conversation",252,,,,
7/17/2026 22:50:46,,Halftime,"Hats off to the Nashville crowd, turning out and being loud on a friday night during the World Cup",98,,,,
7/17/2026 22:55:49,,Halftime,~400 Atlanta United fans reportedly present at the game,55,,,,
7/17/2026 22:56:44,45,Start 2nd Half,No changes for either team at the half.  Atlanta has already used one opportunity.,82,,,,
7/17/2026 22:57:50,46,2nd Half,"Atlanta get the ball to the arc, try to shoot, but Nashville has packed in.",75,,,,
7/17/2026 23:01:14,49,2nd Half,Woledzi takes down Miranchuk in the middle.,43,,,,
7/17/2026 23:01:28,50,2nd Half,"Mihaj long ball up to Almirón in the corner.  Nashville clear, but Atlanta immediately back at the box.",103,,,,
7/17/2026 23:02:26,51,2nd Half,Mihaj long crossing ball to Edwards.,36,,,,
7/17/2026 23:03:06,51,2nd Half,"Báez nice flick up for Almirón to pick up.  Miggy flicks it centrally for Miranhuck.
The ball bounces around.  Brennan tries a shot but it's blocked.",149,,Atlanta looking dangerous now.,,
7/17/2026 23:04:03,52,2nd Half,"Reilly has slipped, and lost the ball a couple of times.",56,,,,
7/17/2026 23:04:29,53,2nd Half,"Nashville are playing frantic.  Trying to get control back.  They need a sub to regain composure.
Atlanta in full control.  Can get the ball into the box, but having trouble getting a shot even to the goal.",206,,,,
7/17/2026 23:05:19,54,2nd Half,Mihaj now slips in the circle.,30,,,,
7/17/2026 23:05:37,54,2nd Half,Bauer takes Almirón down from behind.,37,,,,
7/17/2026 23:05:47,54,2nd Half,Couple more players have gone down.  It reportedly rained hard prior to the match.,82,,,,
7/17/2026 23:07:22,56,2nd Half,Mukhtar stands over a free kick.  Sends it to the back post.  It's put out for a goalkick.,90,,,,
7/17/2026 23:09:53,58,2nd Half,"Miranchuk linking up with Muyumba.  Ball goes to Miranchuk, Almirón, Reilly, Edwards.  The team sees the ball in the Nashville half.",132,,,,
7/17/2026 23:10:50,59,2nd Half,"Miranchuk with a turning pass up for Brennan,.  He had to hit a quick one-touch pass, but needed a second.  The keeper was able to just put it over for a corner.",161,,,,
7/17/2026 23:11:29,60,2nd Half,Almirón with the corner.  Mihaj header bounces and is then caught by the keeper.,80,,,,
7/17/2026 23:11:32,60,2nd Half,Edwards goes down off the play.  He's holding his left hamstring.,65,,,,
7/17/2026 23:11:57,60,2nd Half,Nashville have been trying to play 2 subs for a while,53,,,,
7/17/2026 23:13:26,62,2nd Half,"Atlanta sub:
off: Edwards
on: Hernández",39,,,,
7/17/2026 23:14:08,62,2nd Half,Nashville elected not to make their subs for some reason.,57,,,,
7/17/2026 23:14:31,63,2nd Half,"Nashville corner, tries a flick on and calls for a handball.  Waved off.",72,,,,
7/17/2026 23:14:50,63,2nd Half,"Nashville finally make their subs.
on:  Acosta, Nájar
off: Bauer, Tagseth",73,,,,
