Timestamp,Minute,Game Phase,Post,Post Size,Team,Players,Weight,Status,Notes
4/4/2026 20:56:39,58,2nd Half,Fortune gets a loud roar from the crowd on his return to the pitch.,67,,,,,
4/4/2026 20:57:14,59,2nd Half,"Fortune's first pass misses Stian, Hoyos has to collect.",56,,,,,
4/4/2026 20:58:53,61,2nd Half,"ATLUTD building towards a goal.  Miggy dribbles into the center, to Miranchuk on the right.  Ball comes back left to Báez .  He crosses into the center fro Miranchuk , bounces off the keeper, Miggy shoots, saved.  Miranchuk scores with a tap-in.",245,,,,,
4/4/2026 21:00:11,62,2nd Half,"The Crew score immediately.  Another cross from the right across the 6.  Arfsten is the fasted to the ball, blasts it past a jumping Hoyos.  All too easy.",154,,,,,
4/4/2026 21:00:18,62,2nd Half,Now 3-1 to the Crew,19,,,,,
4/4/2026 21:03:00,65,2nd Half,Miranchuk working hard in this half. ,36,,,,,
4/4/2026 21:05:25,67,2nd Half,"Long injury break.  Chambost down, bleeding in the head.",56,,,,,
4/4/2026 21:06:18,68,2nd Half,"Crew makes subs:
off: Gomes , Arfsten
on: Picard  Habroune",58,,,,,
4/4/2026 21:07:52,70,2nd Half,Crew now have a repeating strategy - going down the right side with a late cros.,80,,,,,
4/4/2026 21:08:24,70,2nd Half,Picard takes Tomás 's legs and runs up the pitch.  About to shoot when Gregersen blocks it,90,,,,,
4/4/2026 21:09:18,71,2nd Half,"Crew shot from Camacho , wide open in the box.  Hoyos blocks",60,,,,,
4/4/2026 21:09:44,72,2nd Half,"Stian staying central and back, clearing the ball well.",55,,,,,
4/4/2026 21:10:20,72,2nd Half,ATLUTD preparing 2 subs.,24,,,,,
4/4/2026 21:11:35,73,2nd Half,"Despite the goal, this half has been all Columbus.  ATLUTD appear to have given up at this point.",97,,,,,
4/4/2026 21:11:58,74,2nd Half,"ATLUTD subs:
on: Saba, Edwards
off: Tomás, Alzate ",49,,,,,
4/4/2026 21:13:17,75,2nd Half,Sanchez building from the back.,31,,,,,
4/4/2026 21:13:40,75,2nd Half,Change of ATLUTD shape.  Sending the wingbacks up.,50,,,,,
4/4/2026 21:15:00,77,2nd Half,"Báez gets up, sends in a cross.  Looked promising, but doesn't connect.",71,,,,,
4/4/2026 21:15:28,77,2nd Half,"Saba is explosive, finding space.",33,,,,,
4/4/2026 21:15:50,78,2nd Half,Edwards takes down a Crew player in order to prevent a counter.,63,,,,,
4/4/2026 21:16:34,78,2nd Half,Crew beautify ball over the top.  Herrera receives in space.  Shoots straight to Hoyos for the block.,101,,,,,
4/4/2026 21:18:32,80,2nd Half,"attendence:  34,130",19,,,,,
4/4/2026 21:19:13,81,2nd Half,Gregersen is unable to clear the ball.  Herrera ( Crew ) again gets a cross in.  Hoyos comes up big as 2 Crew player are waiting to receive just behind him.,156,,,,,
4/4/2026 21:20:58,83,2nd Half,"Crew sub:
on: 
off: 

No, it is called off",42,,,,,
4/4/2026 21:22:17,84,2nd Half,Báez does well to retrieve the ball and keep the Crew player from getting it.  But is called for a handball.  The crowd boos.,125,,,,,
4/4/2026 21:23:53,86,2nd Half,"Now the Crew subs:
on: Thiaré ( gets cheers from the crowd ), Bangoura
off: Rossi , Chambost",92,,,,,
4/4/2026 21:24:47,87,2nd Half,Sanchez may have slipped or knocked over by 2 Crew players.  He stays down.  They surge forward.  They ahve all the opportunity but cannot score due to a scramble in the box with Hoyos and Miranchuk making a mess of things.  The Crew really should have scored.,260,,,,,
4/4/2026 21:26:45,89,2nd Half,Crew charing 3-3 to ATLUTD.  Atlanta does not pressure the ball.,64,,,,,
4/4/2026 21:26:54,89,2nd Half,"Saba gets a cross in, ELL can't get to it.",42,,,,,
4/4/2026 21:27:12,89,2nd Half,"Crew sub:
on: Akhundzada
off: Herrera",37,,,,,
4/4/2026 21:28:21,90,2nd Half,Thiaré and Miranchuk battle for the ball with Alexie fouling Jamal,66,,,,,
4/4/2026 21:28:41,90,2nd Half,11' of stoppage,15,,,,,
4/4/2026 21:30:32,92,2nd Half,"Play is getting chippy. 
2 Crew players collide, head injury.
Tata goes to the Crew bench.
ATLUTD showing some spark ... off the pitch.",135,,,,,
4/4/2026 21:31:51,94,2nd Half,Báez may have received a 🟨 - looked like an elbow to the face,62,,,,,
4/4/2026 21:31:57,94,2nd Half,Someone got a 🟥 card,21,,,,,
,,,,,,,,,
4/4/2026 21:32:58,95,2nd Half,"Tata got a 🟥 for abusive language
Chambost got a yellow.  Columbus coach got a 🟨",82,,,,,
4/4/2026 21:33:39,95,2nd Half,Game finally resumes.,21,,,,,
4/4/2026 21:34:02,96,2nd Half,Unsure what set Tata off.,25,,,,,
4/4/2026 21:34:30,96,2nd Half,"Crew get a ball over the top, shoots, and blocked.  But offsides.",65,,,,,
4/4/2026 21:34:58,97,2nd Half,Sanchez gives the ball away,27,,,,,
4/4/2026 21:37:11,99,2nd Half,"Mihaj long ball to Foturne, heads it onto Saba.  His cross goes straight to the Crew",84,,,,,
4/4/2026 21:37:36,99,2nd Half,ATLUTD players competing to see who can give the ball away the most.,68,,,,,
4/4/2026 21:38:27,100,2nd Half,Crew get another cross inside the box.  Had all of Atlanta beaten.  They weren't able to get to the ball.  Atlanta lucky.,121,,,,,
4/4/2026 21:39:06,101,2nd Half,Sanchez battles well and gets the ball forward.  But Atlanta immediatly lose it.,80,,,,,
4/4/2026 21:39:16,101,2nd Half,ATLUTD have been out of ideas for a while.,42,,,,,
4/4/2026 21:39:57,102,2nd Half,Miranchuk sends a ball over the top.  Latte Lath chests it down to a Crew player.  Nothing comes of it.,103,,,,,
4/4/2026 21:40:29,102,2nd Half,Saba has been running all over the place since coming on.,57,,,,,
4/4/2026 21:41:51,104,2nd Half,Fortune fouls a Crew player in the middle of the pitch.  the crowd boos,71,,,,,
4/4/2026 21:42:17,,Final Whistle,Mercifully over.,16,,,,,
4/4/2026 21:42:22,,Post-Game,The crowd boos,14,,,,,
4/4/2026 21:52:31,,Post-Game,"Player impressions:
Hoyos - had some nice saves in this game.  Came up big a few times.  Still limited in his reach, and being targeted outside of his reach.  
Tomás - wasn't great.  Seemingly ran out of gas, or just gave up after being beaten badly.
Gregersen - a step too slow throughout.  Hurt several times.  Passes weren't connecting.
Mihaj - A good 1st half.  wasn't good enough in the 2nd.  Not bad, just not good.
Báez - certainly had moments of creativity.  Has a defensive mindset with his passes.  Not connecting on crosses.
Muyumba - did an ok job.  Couldn't control the midfield and was pulled.
Reilly - started strong, aggressive / forward passes.  Ran out of gas in the 2nd, and lost control of midfield.
Alzate - did well to control the ball in midfield.  The Crew figured him out by the half.
Almirón - running all over the place.  Ran out of gas.  His passing was not up to par.
Miranchuk - worked hard to offset Miggy.  Showed up all over the place.  Had a few decent balls, but his connections with players weren't working.
Latte Lath - Same level of play all season.  His goals seem to be a blip, and Atlanta have to be mulling their options.
Fortune - it's all about his return to the pitch.  He's rusty and can't play a half yet.
Sanchez - didn't provide a spark when one was needed.
Edwards - was brought in to give the right some energy and prevent the runners from advancing.  Wasn't able to.
Saba - Saba was a ball of energy.  Running at full speed all over the place.  Seemed like he only passed to Crew players.",1540,,,,,
4/4/2026 21:58:09,,Post-Game,"Post match, only one player walked around the pitch to thank the crowd - Hibbert",80,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
