Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/18/2026 12:07:03,65,2nd Half,"Bad cross towards Edwards doesn't make it and Hall collects.  Edwards takes out Hall to prevent the movement, is called for a foul.  He dosn't get up and is holding his calf/hamstring.",184,,,,
8/18/2026 12:07:13,65,2nd Half,He ends up getting up and jogs it off.,38,,,,
8/18/2026 12:08:21,66,2nd Half,"Edwards tries to clear, right to New York player.  He tries another, again to New York. 
He's limping now.",106,,,,
8/18/2026 12:08:36,66,2nd Half,ATL cannot get the ball out of their back third.,48,,,,
8/18/2026 12:08:52,66,2nd Half,"The Ref takes out Almirón, who twists badly.  Atlanta has no luck.",66,,,,
8/18/2026 12:09:36,67,2nd Half,Atlanta prepping Stian now.  Edwards cannot continue and goes down.,67,,,,
8/18/2026 12:10:28,68,2nd Half,"Atlanta sub
off:  Edwards
on: Gregersen",39,,,,
8/18/2026 12:12:03,70,2nd Half,"Gill collects.  Nice ball to Sanchez.  He sends to Miranchuk and finds Muyumba centrally by the top of the arc.
Muyumba taps the ball forward and shoots with his right.  The ball goes up and curls into the top right corner.  Horvath had no chance.
Fabulous goal.  Top class",273,1-1,Stunning goal from Muyumba,,
8/18/2026 12:14:10,72,2nd Half,"New York have been playing safe/controlled.  They now need to press.  Atlanta are sitting deep, coiled to attack.  
Still playing counter-attack.  But see a way to win.",168,,,,
8/18/2026 12:14:53,72,2nd Half,"All 2nd half, Picault has been playing as left-wing.  Deeper than 2 Atlanta players.",84,,,,
8/18/2026 12:15:59,73,2nd Half,"Muyumba brings down a high ball.  to Almirón, back to Muyumba.  Long ball over the top finds Miranchuk who slightly taps it forward, bouncing into the arc.  
Jacob is closes and tries to get there but cannot reach.  Horvath reaches it first and blasts it.",255,,,,
8/18/2026 12:16:36,74,2nd Half,"New York attack, Hoyos has to rush out to clear.",48,,,,
8/18/2026 12:17:51,75,2nd Half,"Gill playing more confident now in midfield.  Trying some flicks, fakes.",72,,,,
8/18/2026 12:18:51,76,2nd Half,New York attack down the right . Jacob with a slide tackle able to block a shot.,80,,,,
8/18/2026 12:19:40,77,2nd Half,"Picault collects a ball, heads to Almirón.  He dribbles through 4 to retain the ball.  The ball moves right then left.  Báez is open on the back post and takes a one-touch shot.  Not a good one, and goes out.",208,,,,
8/18/2026 12:20:13,78,2nd Half,Atlanta pressing higher now.  The backline looks more in control.,65,,,,
8/18/2026 12:20:29,78,2nd Half,Both teams prepping subs now.,29,,,,
8/18/2026 12:20:57,78,2nd Half,"New York 3 subs.  
off:  Forsberg, Dos Santos
on:  McCarthy, Marshall-Rutty",75,,,,
8/18/2026 12:22:16,80,2nd Half,through ball to Muyumba.  He dribbles centrally passes to Almirón.  A huge wind-up but it's blocked.,100,,,,
8/18/2026 12:22:21,80,2nd Half,"Atlanta subs:
on: Hernández, Alzate
off:  Báez, Sanchez",55,,Muyumba has really come alive after the goal.  He wants another.,,
8/18/2026 12:23:58,81,2nd Half,"Atlanta corner.  Right side.
Short corner to Almirón.  He sends a high ball to the 6.  Picault jumps and gets a head to it.  The ball slips in.
Picault directed the ball back towards goal.  It's not on target, but it hits Horvath's foot where the ball is dragged back into goal.",278,Atlanta 2-1,Picault takes off his shirt and runs off celebrating.  Gets the yellow,,
8/18/2026 12:27:54,85,2nd Half,Atlanta prepping 2 subs,23,,,,
8/18/2026 12:28:21,86,2nd Half,"Atlanta subs:
on:  Brennan, Santos
off: Picault, Almirón",56,,,,
8/18/2026 12:30:02,88,2nd Half,"New York attack down the left, crossing right.
ALL Atlanta players back to defend.
New York get a shot off at the arc.  Slightly deflected, hard shot to the right post.  Hoyos makes a huge save 🧤, diving to his left.",217,,Hoyos keeps the lead,,
8/18/2026 12:31:03,89,2nd Half,"New York corner goes to the far post.  Ruvalcaba with a hard shot, it's knocked out by a New York player.  
Could have been a goal",130,,,,
8/18/2026 12:31:16,89,2nd Half,Santos down holding his head.  Gets up still holding his head.,62,,,,
8/18/2026 12:32:28,90,2nd Half,"New York through ball.  Slips past all ATL players.  Hoyos is beaten as Harper continues past the keeper.  Sends it central.  Atlanta clear.  
Again, could have been a goal.",173,,,,
8/18/2026 12:32:35,90,2nd Half,8' stoppage - the crowd boos loudly,35,,,,
8/18/2026 12:33:39,91,2nd Half,Mina back defending.  Only Santos up to retrieve a ball.,56,,,,
8/18/2026 12:34:25,92,2nd Half,Muyumba dances with the ball to get a foul.  Smart move to slow the game down.,78,,,,
8/18/2026 12:36:04,94,2nd Half,"New York moving the ball right, left, left.  Trying to find an opening.
Atlanta parking the bus, want the win.  Still moving forward, but quick to defend.
New York are finding openings.",185,,Atlanta not organized in coming back to defend.,,
8/18/2026 12:37:15,95,2nd Half,Gill makes a huge block to stop an attack.,42,,,,
8/18/2026 12:37:40,95,2nd Half,Alzate passes to Miranchuk.  He's held back by New York for a foul.,67,,,,
8/18/2026 12:38:05,96,2nd Half,"Brennan with a hand to the face of Nealis.  Foul, no more.",58,,,,
8/18/2026 12:38:17,96,2nd Half,New York down the left.  Huge slide and block from Stian.,57,,,,
8/18/2026 12:38:46,96,2nd Half,Brennan nice block on the back right to stop an attack.  Is able to clear.,74,,,,
8/18/2026 12:39:04,97,2nd Half,Alonso to Brennan.  He's taken down from behind.  Clean tackle.,63,,Almiron on the sidelines directing traffic.  The crowd cheers when he's seen on the Halo board.  Similar to when Ronaldo did the same.,,
8/18/2026 12:40:31,98,2nd Half,Brennan with a nice play to keep the ball.  Earns a foul.,57,,,,
8/18/2026 12:40:47,,Final Whistle,stop,4,,,,
8/18/2026 12:42:01,,Post-Game,Brennan hugs Picault.  Lots of subs congratulating Muyumba.,59,,,,
8/18/2026 12:43:34,,Post-Game,"Player Impressions:
Hoyos - Saved the game for Atlanta at the end.
Edwards - Something is off with his game.  Positioning, passing, clearances.  May not be at the full speed of the 1st team.
Jacob - largely quiet today
Alonso - not fast enough and easily beaten.  Reads the game well and moves up to clear the ball often.
Báez - has been pushing up higher.  But also doesn't go as far down the wing as earlier in the season.  Keeps better defensive positioning.
Gill - phenominal in his debut.  Shows a lot of class in his ability to read the game.  Best midfielder of the game for Atlanta.  Looking forward to future games.
Muyumba - He's a game-changer.  Generally slow to react/pass.  But will turn up his game for a bit.  When he does, he's electric.  Turned Atlanta around.
Sanchez - I enjoy his game.  His defending, his passing.  And yet, he's not up to speed right now.  Needs a bit more.  
Miranchuk - His distribution is good backwards and sideways.  Not as good to the front man.  He needs to see the runner's movement to know where to pass.
Almirón - Atlanta's heart and soul for the team.  Tries everything, runs himself into the ground.  Trying everything.  Motivates the team.
Picault - Better today as winger than as striker.  Gets himself into good positions.  Tires easily now and can't do a full game.
Stian - his norm - when healthy, is a good defender.  reads an attack well and always gets in the way of a cross.
Brennan - played defensively to help preserve the lead.  put his body on the line.
Santos - fought hard a few times.  Helped slow the game down.  Wasn't able to generate an attack.",1615,,,,
