Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes-old
5/9/2026 21:20:03,80,2nd Half,"For a brief moment after the ATLUTD goal, Atlanta looked hungry and ready to score.  That's turned completely",109,,,yes,,
5/9/2026 21:20:37,81,2nd Half,Atlanta prepping 2 subs.,39,,,,,
5/9/2026 21:21:59,82,2nd Half,"LA breakaway.   A speeding runner takes down Báez easily, turns to shoot.  Stian runs over to clear.",100,,This is Stian's power move,,,
5/9/2026 21:22:57,83,2nd Half,"Atlanta subs:
off: Sanchez, Berrocal
on: Mihaj, Santos",54,,,,,
5/9/2026 21:25:12,85,2nd Half,"Santos has taken the DM role, with Muyumba pushing higher.  This was only temporary",83,,,,,
5/9/2026 21:26:00,86,2nd Half,"Berrocal with a giveaway, nearly costly.  But he's able to recover.",67,,,,,
5/9/2026 21:26:15,86,2nd Half,LA breakaway on the right again.  Pec shoots just over,54,,it could have been worse,yes,,
5/9/2026 21:26:36,86,2nd Half,LA prepping a sub,17,,,,,
5/9/2026 21:27:52,88,2nd Half,LA cross in the box.  Hoyos is able to block then collect,57,,Hoyos is able to stop anything hit directly at him,,,
5/9/2026 21:29:02,89,2nd Half,Another LA break.  Initially a 3-on-2.  Mihaj is able to get in there to stop the final shot,92,,LA coming in waves,yes,,
5/9/2026 21:29:16,89,2nd Half,Brennan staying wide.  Getting crowsses in,42,,,,,
5/9/2026 21:30:30,90,2nd Half,Miranchuk sends in a cross to Santos. Header goes wide,54,,,,,
5/9/2026 21:30:40,91,2nd Half,"LA sub:
on: Yoshida
off: Paintsil",33,,,,,
5/9/2026 21:31:53,92,2nd Half,"On balls over the top, ATLUTD playing with 3 targets.  Santos, Togashi, Brennan",79,,,,,
5/9/2026 21:33:09,93,2nd Half,6' of stoppage,14,,,,,
5/9/2026 21:35:47,96,2nd Half,LA are managing the final minutes very well,43,,,,,
5/9/2026 21:36:34,96,2nd Half,Fortune and Miranchuk with nice footwork at the end.  But Atlanta's final ball goes out.,88,,,,,
5/9/2026 21:36:51,97,Post-Game,SEveral ATLUTD players go down after the whistle.  Stian Muyumba.  Brennan,74,,,,,
5/9/2026 21:38:11,98,Post-Game,"Player Impressions:
Hoyos - does what's expected of him, nothing more
Gregersen - really good charging down a breakaway.  but lets in the breakaways with his positioining.
Berrocal - needs to do better
Báez - good on attack, was beaten badly on defense during breakaways
Muyumba - Plays very well as the DM.  But still outclassed at times.
Sanchez - doing amazing for his age.  Take his age out of it, and he gives the ball away too many times
Galarza - has not been impacting games.  Worried he has triggered his release clause
Miranchuk - played well, but not DP-well.  Has inspiring movement, and passing.  It didn't work tonight.
Saba - his normal.  Great on the run, until he gets to a defender
Latte Lath - played too deep, can't get at the end of plays.  His normal
Fortune - his quality shines through.  He needs to be starting over Galarza
Togashi - has better off the ball movement than Latte Lath.  But can't get at the end of a ball to score
Brennan - At his age and contract situation, he needs to be putting in strong performances.  He isn't.  He will end up being sold or let go.
Santos - Got at the end of a few crosses for a header.  I'm not sure what position he was playing on pitch though.
Mihaj - an upgrade at CB when he came on.",1251,,,,,
5/9/2026 21:46:20,106,Post-Game,"LA were the better team.  Not tactically, not personnel.  They controlled the game state better than Atlanta.
Atlanta were the stronger team in the 1st half, but lost their heads with the Ref.  LA started controlling the game at that point.
In the end, LA were better at managing the game.  They knew how to close out the game and prevent Atlanta from seeing enough of the ball to get a chance.",394,,,,,
5/9/2026 21:46:33,106,Post-Game,Atlanta's problems tonight were mental.  Not tactical.,54,,,,,
,,Post-Game,Atlanta received 5 yellow cards.  Will be fined.,,,,yes,,
