Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes2
4/25/2026 14:51:16,76,2nd Half,"Atlanta subs:
on: Reilly, Galarza
off:  Sanchez, Miranchuk - captain's armband passed to Muyumba",96,,,,,
4/25/2026 14:51:53,77,2nd Half,Picault switches to the right.  Galarza on the left.,52,,,,,
4/25/2026 14:52:41,78,2nd Half,"Atlanta want to be passing quickly up pitch, but the ball is moving too fast for them",85,,technical ability,yes,,
4/25/2026 14:53:22,79,2nd Half,Galarza is knocked to the ground in the far corner - free kick,62,,,,,
4/25/2026 14:54:17,79,2nd Half,Reilly passes to Hoyos - but it's outside the box,49,,,,,
4/25/2026 14:54:38,80,2nd Half,Muyumba takes out Bossenberry in midfield - slowing things down.,64,,Muyumba on fire by this point,,,
4/25/2026 14:56:02,81,2nd Half,Báez to Galarza who goes through 2.  Cross doesn't find anyone.,63,,,,,
4/25/2026 14:56:37,82,2nd Half,Galarza to Báez into left corner.  Galarza to Berrocal - retaining possession now.,82,,,yes,,
4/25/2026 14:57:40,83,2nd Half,"Picault with the ball on the right, dribbles central.  Stripped of ball.",72,,,,,
4/25/2026 14:58:21,83,2nd Half,Atlanta breaking up all Toronto balls in midfield,49,,,yes,,
4/25/2026 14:59:02,84,2nd Half,"Toronto ball in midfield, sent to left side.  Shot from outside the box.  Hoyos catches",87,,,yes,,
4/25/2026 14:59:16,84,2nd Half,Toronto pressing now,20,,,,,
4/25/2026 14:59:42,85,2nd Half,Ball gets into the box.  Falls to Vilsaint - shot under Hoyos for a goal.  But called off,89,,defenders should have done better here,,,
4/25/2026 15:00:39,86,2nd Half,ELL has mistimed several high balls tonight.,44,,he was jumping early.  this is not a lack of confidence thing,,,
4/25/2026 15:01:06,86,2nd Half,Game is playing out in atlanta's half,37,,,,,
4/25/2026 15:01:29,87,2nd Half,Henry tries dribbling past Galarza - out,40,,,,,
4/25/2026 15:01:37,87,2nd Half,Toronto probing.  All ATLUTD defending,38,,Atlanta protecting the lead,,,
4/25/2026 15:02:06,87,2nd Half,"Toronto get into the box, cross from the back line.  Hoyos collects",67,,,,,
4/25/2026 15:02:57,88,2nd Half,"Picault gets the ball, tries taking it to the corner.  Earns a corner in the process",84,,,,,
4/25/2026 15:03:43,89,2nd Half,6' ET,5,,,,,
4/25/2026 15:04:00,89,2nd Half,All of ATLUTD now realize they need to stall.,45,,,,,
4/25/2026 15:04:11,89,2nd Half,Reilly does very well to force another corner,45,,Reilly was an upgrade over Sanchez,,,
4/25/2026 15:05:37,91,2nd Half,ELL breaks up a Toronto play - earns a foul and a delay.  smart move,68,,,yes,,
4/25/2026 15:05:50,91,2nd Half,Gregersen forced out for a corner.,34,,,,,
4/25/2026 15:06:09,91,2nd Half,All of Toronto coming for the corner.  Including the keeper,59,,Keeper was barely in the net for the remainder,,,
4/25/2026 15:06:44,92,2nd Half,Corner comes in - headed out - shot - knocked over.  Another corner.  Keeper stays up!,86,,,,,
4/25/2026 15:06:54,92,2nd Half,ELL heads the ball out for a corner.  Keeper stays up!,54,,,,,
4/25/2026 15:07:14,92,2nd Half,"Ball in, headed out.",20,,,,,
4/25/2026 15:07:31,93,2nd Half,All Atlanta defending.  Gavran recovers the ball.  he's still up!,65,,,,,
4/25/2026 15:07:59,93,2nd Half,Atlanta try for a breakaway with no keeper.  Galarza is knocked off.  Neither he nor ELL can get the ball,105,,,,,
4/25/2026 15:08:37,94,2nd Half,"Tata screaming at players to push up, pressuring Toronto",56,,,yes,,
4/25/2026 15:08:54,94,2nd Half,Toronto forced to pass back to the keeper,41,,,,,
4/25/2026 15:09:44,95,2nd Half,Toronto free ball finds Henry.  One touch cross bounces across the box.  Hearts in hands - everyone misses.  No goal,116,,,yes,,
4/25/2026 15:09:50,95,2nd Half,last minute,11,,,,,
4/25/2026 15:10:03,95,2nd Half,Reilly working very hard.  pressing hard.,41,,,,,
4/25/2026 15:10:11,95,2nd Half,Galarza on the end of all balls going up,40,,he was the distribution point,yes,,
4/25/2026 15:10:21,95,2nd Half,Toronto keeper with a hugh kick goes into the box.  But Hoyos collects,70,,,,,
4/25/2026 15:10:59,96,2nd Half,Toronto movign the ball up.  Atlanta blocking it all.,53,,,,,
4/25/2026 15:11:13,96,2nd Half,Toronto corner.  probably the last play.  Keeper up again,57,,,,,
4/25/2026 15:11:37,97,2nd Half,Comes in - over everyone's head.  FULL TIME!  Atlanta win 2-1,61,,,,,
4/25/2026 15:12:48,98,Post-Game,"Player Impressions
Hoyos - Distributing well.  stopping what he needs to stop.  no reach
Báez - came up big several times in the last 20 min.
Berrocal - Played very well.  Dominated the back
Gregersen - seemed to play his normal game, and was also the weakest link in the back
Edwards - a few nervy moments.  Very good moving up the right.  In good positions in attack.  Needs to calm down defending
Muyumba - Best game of the year, and a goal
Brennan - needed to show his best today, didn't
Fortune - another quality game.  Is only going to get better with fitness
Sanchez - has leveled off.  
Miranchuk - good on ball movement.  free kick goal.  
Togashi - his 30 min had better off the ball movement than ELL
Latte Lath - forgot he was on the pitch for 20 min.  Can't see what he's giving the team
Picault - tremendous player - hard to keep him off the pitch
Galarza - worked tirelessly on defense.  Had no one to pass to
Reilly - a couple of great plays.  did what he was supposed to do",990,,,,,
