Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/26/2026 10:18:37,,Halftime,"Player Impressions:
Hoyos - an average performance so far.  Doing well in distribution.  He was well beaten on the 1st goal as he has a known limitation in his reach.  The 2nd goal could be viewed as a defensive failure, or he didn't come off his line.  
Edwards - Has mostly been playing as a right mid/winger.  Has grown into his attack, and putting the ball into dangerous areas.  Reading the ball well.
Gregersen - playing well tonight.  Has come up big a few times to prevent New England passing.
Alonso - I don't see him communicating as much, but doing well in distribution.  Has gotten the ball up the pitch well.
Muyumba - Has made a few outsanding defensive plays.  When he wins the ball, can't quickly determine what to do with it.  Needs more time.  When he has that time, is able to pick out nice through balls up to the front line.
Báez - I can't tell what position he's being asked to play.  It's too high up for a FB.  He's not often getting up the wing.  He stays somewhere between FB and LM.  Which often leaves him isolated and unable to defend.
Reilly - Has not been able to control midfield.  Is often seen along the back line.
Sanchez - Is overpowered centrally.  He seems to have trouble with Almirón, Miranchuk, and Picault running freely and switching sides.  He can't find targets.
Almirón - The team's captain today.  In name and spirit.  He's running all over, and playing very well in both offense and defense.  He looks frustrated at times when he makes wonderful plays, when his target loses the ball.  He is freely moving right, left, central.  Pops up everywhere making life difficult for New England, and giving Atlanta options.
Miranchuk - Staying more on the right.  Having a good game.  Is good with his passing.  Needs to move around more, away from the right.
Picault - This is not his natural position.  With his age, doing what he can to press the line and provide options.  But Atlanta should really be using a natural striker like Togashi or Kovac.  Picault is being outrun.

Best players are Almirón, and Miranchuk close behind.  But they're being asked to do too much.  They cannot do it all, and it glaring how much the team needs a finisher.",2188,,,,
7/26/2026 11:54:05,,Start 2nd Half,start,5,,side note:  I miss seeing the World Cup closeup/slowmo fan cams.  That needs to be a thing.,,
7/26/2026 11:54:26,45,2nd Half,no changes for either team at the half,38,,,,
7/26/2026 11:55:40,47,2nd Half,"Báez sent a ball back to Hoyos.  He was under pressure, and tried to play it left to then kick.  Instead, he dribbled the ball out for a corner.",144,,,,
7/26/2026 11:57:00,48,2nd Half,Raines dribbles through several ATLUTD players.  He was fluid while they were staic.  Got a cross into the box before Atlanta cleared,133,,,,
7/26/2026 11:57:30,48,2nd Half,Miranchuk and Almirón playing well together in NE's half.  Almirón tries a chip to Báez but it is too far.,106,,,,
7/26/2026 11:58:07,49,2nd Half,"Muyumba backheel to Almirón, over to Miranchuk.  Picault tries sending the ball back in.  It's headed out for a corner.",119,,,,
7/26/2026 11:58:44,50,2nd Half,"This time their combo didn't work.  a59's ball isn't good, and New England break.  Atlanta fortunate their final ball wasn't the best.",134,,,,
7/26/2026 11:59:49,51,2nd Half,"Sands gets into the box, turns Edwards, and gets a chip along the 6.  Header goes over.",87,,danger signs.  NE should have scored,,
7/26/2026 12:00:34,51,2nd Half,Reilly fouls Turgeman.  He goes down.  Reilly sees 🟨 after the play is called back.,84,,,,
