Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
9/12/2026 20:48:36,,Halftime,"Player Impressions:
Johnson - Has made a couple of explosive runs out from the net to prevent D.C. from getting the ball
Báez - much better tonight in attack.  Atlanta recognized the defensive weakness, and are helping him on his side.
Alonso - better organizing the back line.  Has been hitting some really nice long balls over the top to Báez and Miggy
Mihaj - Organizing well.  Made the one great block to prevent a goal
Jacob - nothing standing out to me here.  He's there, doing an average job.  
Fortune - rust is starting to come off.  He's back to reading passes well.  Distribution is better but still needs work.  He'll be on limited minutes, and I expect Muyumba to replace him on the 60th
Sanchez - a few nice touches.  Overall, getting outplayed in midfield.  He's central by himself though with Amaro deeper, and Embolo higher
Almirón - He and Báez are switching playing high left.  He also goes centrally often.  Frequently the highest man on the pitch for Atlanta.  He's rushing his shots, but has to.
Embolo - playing more as a CAM.  Feels similar to how Latte Lath kept playing deep to try and get the ball.  Not quite the same deal, as Embolo is doing this as he's double and triple marked by the back line when he plays high.
Miranchuk - Not much of a factor tonight.  Isn't helping control midfield.  Is not able to get plays off in attack",1360,,,,
9/12/2026 21:05:23,,Start 2nd Half,start,5,,,,
9/12/2026 21:06:46,46,2nd Half,"more good combination play, until the final shot
long ball to Miranchuk.  Ball is passes between Almirón, Fortune, Amaro, Miranchuk, Sanchez - his shot is blocked at the 18.  
But Atlanta retain the ball.",204,,,,
9/12/2026 21:08:14,48,2nd Half,"D.C. long ball over the top to Baribo.  He sends a cross in the box.  Dangerous.  BUt it's too far away from the runner.  He over hit it.  Nono tries to collect, Mihaj with perfect movement to guide the ball out.",212,,,,
9/12/2026 21:08:44,48,2nd Half,"Jacob running up the pitch, Bartlett goes to ground with a quality slide to block Jacob's attempted shot/cross",110,,,,
9/12/2026 21:09:45,49,2nd Half,"Atlanta corner.  Miggy on the ball.  It's sent it - he tried an olympico!!
It riccochets off the post.  Whooo!",110,,,,
9/12/2026 21:10:26,50,2nd Half,Picault and Jacob go for a ball.  Tomás brings Picault down to the ground.  No call.  Picault is soon up.,105,,,,
9/12/2026 21:12:26,52,2nd Half,"Mihaj was just high up the pitch, in D.C.'s half.  passing with Miranchuk",73,,,,
9/12/2026 21:12:51,52,2nd Half,"Jacob was just caught off guard, tying his laces.  Tata was not happy",69,,,,
,,,,,,,,
9/12/2026 21:14:22,54,2nd Half,"Miranchuk running up the middle, passes to Embolo.  He's knocked to the ground, but still gets the ball to Miranchuk.  miranchuk runs up to the arc, passes to Sanchez.  He tries chipping the keeper.  The ball goes just wide.  Really good ball movement there.  Looking pretty",274,,,,
9/12/2026 21:14:24,54,2nd Half,D.C. prepping 3 subs,20,,,,
