Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes
4/22/2026 21:21:01,60,2nd Half,"Galarza with a shot on goal.  It's deflected, nearly going in.  But just over.",78,,what could have been,yes,,
4/22/2026 21:22:09,61,2nd Half,Miranchuk with another long distant shot.  Deflected out for a corner.  ATLUTD knocking.,88,,,yes,,
4/22/2026 21:23:23,63,2nd Half,"Picault on the right, Berrocal in the box, Sanchez pushing - Atlanta wants another goal",87,,,,,
4/22/2026 21:23:52,63,2nd Half,Picault draws a foul.  Saba has been taking all of them.  This time it's Alexey.,80,,,,,
4/22/2026 21:23:58,63,2nd Half,New England prepping a sub,26,,,,,
4/22/2026 21:24:45,64,2nd Half,"Free kick from Alexey is hit off Galarza 's head.  Then to Picault, just wide.",78,,shot after shot after shot,,,
4/22/2026 21:25:35,65,2nd Half,"New England sub.
off: Langoni
on: Miller",40,,,,,
4/22/2026 21:26:31,66,2nd Half,Galarza with a foul on Raines.  He needs to be careful now.,59,,the ref thought about the 1st yellow,,,
4/22/2026 21:27:24,67,2nd Half,"New England get into the box.  McIntosh with a cross, blocked by Edwards.",73,,,,,
4/22/2026 21:27:54,67,2nd Half,Picault on a breakaway - is closed down by 5(!) New England players.  He keeps the ball onger than he should have.,114,,,yes,,
4/22/2026 21:28:56,68,2nd Half,Reilly taken down .  Atlanta free kick in a dangerous spot.,59,,,,,
4/22/2026 21:29:28,69,2nd Half,Saba and Miranchuk over the ball.,33,,,,,
4/22/2026 21:29:52,69,2nd Half,Saba goes for goal - wide right.  The crowd oooh's,50,,"at this point, it felt like atlanta were due a goal at any moment",,,
4/22/2026 21:30:12,70,2nd Half,New England having trouble getting out of their half.,53,,,,,
4/22/2026 21:30:54,70,2nd Half,Tata excitedly trying to tell someone to go wide - he nearly steps on the pitch.,80,,,,,
4/22/2026 21:31:37,71,2nd Half,New England finally get to the Atlanta end line - out for a corner.  Good block from Galarza,92,,,,,
4/22/2026 21:32:07,71,2nd Half,New England send in a floater.  It's lightly headed to the far corner by Sands.  1-1,84,,this floated an impossibly long time,yes,,
4/22/2026 21:33:00,72,2nd Half,An un-ease falls on the crowd,29,,,,,
4/22/2026 21:33:48,73,2nd Half,Atlanta is going to make a tripple sub,38,,turned tout to be 4,,,
4/22/2026 21:35:05,74,2nd Half,"When New England scored that, they had an xG of .09",51,,,,,
4/22/2026 21:35:49,75,2nd Half,New England long distance shot to the far corner.  Hoyos dives to push it out.,78,,,,,
4/22/2026 21:36:59,76,2nd Half,"Off a corner, Amador sends the ball up to Saba.  He runs the length of the pitch and puts in a weak effort which is blocked.",124,,100% should have been a better shot,yes,,
4/22/2026 21:37:36,77,2nd Half,New England put a cross across the 6. Miller beat Mihaj to the ball.  Shot.  Score.  New England up 2-1 now.,108,,defense had to do better here,yes,,
4/22/2026 21:39:06,78,2nd Half,"Atlanta subs
on:  Brennan, Fortune, Muyumba, Togashi
off: Saba, Picault, Sanchez, Reilly",88,,,,,
4/22/2026 21:40:21,80,2nd Half,Both New England goals came against the run of play.  And they nearly scored again.,83,,,yes,,
4/22/2026 21:41:01,80,2nd Half,"30,306 attendance - new record low",34,,,yes,,
4/22/2026 21:43:06,82,2nd Half,The game has switched.  Atlanta no longer playing as a controlled unit.  New England has the uppper hand on all plays.  Atlanta playing hopeful ball.,149,,,yes,,
4/22/2026 21:44:24,84,2nd Half,Alexey takes a crack.  A rocket is parried wide.,48,,,,,
4/22/2026 21:44:35,84,2nd Half,"Atlanta prepping a sub, looks like Latte Lath.",46,,what started out as a message to him is no longer effective.  we're now saying we need you.,,,
4/22/2026 21:46:17,86,2nd Half,New England have Fagúndez on a breakaway.  Very dangerous movement - Mihaj breaks it up.,88,,,,,
4/22/2026 21:46:38,86,2nd Half,"Atlanta Sub:
off: Galarza
on: Latte Lath",40,,,,,
4/22/2026 21:46:58,86,2nd Half,New England stopped an Atlanta attack on the last play - Raines gets a 🟨 for the foul,86,,,,,
4/22/2026 21:49:21,89,2nd Half,3' ET,5,,,,,
4/22/2026 21:49:41,89,2nd Half,ATLUTD put in a cross.  Center then to Togashi for a shot.  Blocked.,68,,,,,
4/22/2026 21:50:56,90,2nd Half,Feingold gets a 🟨 for New England,34,,,,,
4/22/2026 21:51:55,91,2nd Half,"ATLUTD send a cross in, it's blocked and New England have a breakaway.",70,,,,,
4/22/2026 21:53:00,92,2nd Half,"Ball into the box, ELL turns and shoots - it's on target, but blocked",69,,when was his last shot on target?,,,
4/22/2026 21:53:16,93,2nd Half,ATLUTD with balls into the box.  can't find a way through.,58,,,,,
4/22/2026 21:53:21,93,Final Whistle,Game ends to boo's,18,,,yes,,
4/22/2026 21:53:37,,Post-Game,New England wins 2-1,20,,,,,
4/22/2026 21:54:12,,Post-Game,"Mihaj sits down on the pitch, shaking his head.  Looks discusted",64,,he had the wrong attitude tonight,,,
4/22/2026 21:55:43,,Post-Game,"Players have walked off.  Refs leaving.  Edwards stood unmoving at the top of the box.  He walks a bit, then just stands on the pitch.",134,,,yes,,
4/22/2026 21:58:46,,Post-Game,"In isolated evenings - this wouldn't phase the team.  Things happen, the opponent gets a couple of lucky breaks.  Now, with this team, they can't avoid this situation.",167,,,yes,,
4/22/2026 21:58:54,,Post-Game,"player impressions:
Hoyos - We know what to expect from him at this point.
Edwards - But in a good performance in the start.  Not a game changer.  Young.
Mihaj - Doesn't have the control on the team he once had.  Seems constantly frustrated.
Berrocal - good at times.  ok at others.  The better of the two CB's tonight.
Amador - A pretty good night.  Got up pitch, good passing, broke up plays.
Sanchez - Hasn't been as good as his opening few games.
Galarza - nPops up with some spectacular plays - but is anominous otherwise.
Miranchuk - The playmaker.  the captain.  He wants the team built around him. 
Saba - pushes up pitch, works hard, and gets the ball into the box.
Picault - Play him as long as his legs hold out!

None of the subs helped their cause.",761,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
